Time,In,Out,UtilIn,UtilOut,Error,Discards,SpikeMG,ChangePointMG
30/09/2024 23:00,40,0,0,0,0,0,0,0
01/10/2024 03:00,40,0,0,0,0,0,0,0
01/10/2024 07:00,44,0,0,0,0,0,0,0
01/10/2024 11:00,44,0,0,0,0,0,0,0
01/10/2024 15:00,46,0,0,0,0,0,0,0
01/10/2024 19:00,38,0,0,0,0,0,0,0
01/10/2024 23:00,43,0,0,0,0,0,0,0
02/10/2024 03:00,40,0,0,0,0,0,0,0
02/10/2024 07:00,44,0,0,0,0,0,0,0
02/10/2024 11:00,36,0,0,0,0,0,0,0
02/10/2024 15:00,41,0,0,0,0,0,0,0
02/10/2024 19:00,43,0,0,0,0,0,0,0
02/10/2024 23:00,39,0,0,0,0,0,0,0
03/10/2024 03:00,42,0,0,0,0,0,0,0
03/10/2024 07:00,44,0,0,0,0,0,0,0
03/10/2024 11:00,42,0,0,0,0,0,0,0
03/10/2024 15:00,40,0,0,0,0,0,0,0
03/10/2024 19:00,45,0,0,0,0,0,0,0
03/10/2024 23:00,44,0,0,0,0,0,0,0
04/10/2024 03:00,40,0,0,0,0,0,0,0
04/10/2024 07:00,42,0,0,0,0,0,0,0
04/10/2024 11:00,42,0,0,0,0,0,0,0
04/10/2024 15:00,42,0,0,0,0,0,0,0
04/10/2024 19:00,40,0,0,0,0,0,0,0
04/10/2024 23:00,41,0,0,0,0,0,0,0
05/10/2024 03:00,41,0,0,0,0,0,0,0
05/10/2024 07:00,38,0,0,0,0,0,0,0
05/10/2024 11:00,38,0,0,0,0,0,0,0
05/10/2024 15:00,38,0,0,0,0,0,0,0
05/10/2024 19:00,39,0,0,0,0,0,0,0
05/10/2024 23:00,49,0,0,0,0,0,0,0
06/10/2024 03:00,39,0,0,0,0,0,0,0
06/10/2024 07:00,42,0,0,0,0,0,0,0
06/10/2024 11:00,36,0,0,0,0,0,0,0
06/10/2024 15:00,42,0,0,0,0,0,0,0
06/10/2024 19:00,40,0,0,0,0,0,0,0
06/10/2024 23:00,43,0,0,0,0,0,0,0
07/10/2024 03:00,45,0,0,0,0,0,0,0
07/10/2024 07:00,40,0,0,0,0,0,0,0
07/10/2024 11:00,42,0,0,0,0,0,0,0
07/10/2024 15:00,42,0,0,0,0,0,0,0
07/10/2024 19:00,42,0,0,0,0,0,0,0
07/10/2024 23:00,42,0,0,0,0,0,0,0
08/10/2024 03:00,44,0,0,0,0,0,0,0
08/10/2024 07:00,40,0,0,0,0,0,0,0
08/10/2024 11:00,46,0,0,0,0,0,0,0
08/10/2024 15:00,41,0,0,0,0,0,0,0
08/10/2024 19:00,42,0,0,0,0,0,0,0
08/10/2024 23:00,39,0,0,0,0,0,0,0
09/10/2024 03:00,40,0,0,0,0,0,0,0
09/10/2024 07:00,40,0,0,0,0,0,0,0
09/10/2024 11:00,44,0,0,0,0,0,0,0
09/10/2024 15:00,41,0,0,0,0,0,0,0
09/10/2024 19:00,40,0,0,0,0,0,0,0
09/10/2024 23:00,42,0,0,0,0,0,0,0
10/10/2024 03:00,39,0,0,0,0,0,0,0
10/10/2024 07:00,39,0,0,0,0,0,0,0
10/10/2024 11:00,35,0,0,0,0,0,0,0
10/10/2024 15:00,40,0,0,0,0,0,0,0
10/10/2024 19:00,43,0,0,0,0,0,0,0
10/10/2024 23:00,44,0,0,0,0,0,0,0
11/10/2024 03:00,42,0,0,0,0,0,0,0
11/10/2024 07:00,40,0,0,0,0,0,0,0
11/10/2024 11:00,44,0,0,0,0,0,0,0
11/10/2024 15:00,47,0,0,0,0,0,0,0
11/10/2024 19:00,44,0,0,0,0,0,0,0
11/10/2024 23:00,43,0,0,0,0,0,0,0
12/10/2024 03:00,40,0,0,0,0,0,0,0
12/10/2024 07:00,38,0,0,0,0,0,0,0
12/10/2024 11:00,41,0,0,0,0,0,0,0
12/10/2024 15:00,45,0,0,0,0,0,0,0
12/10/2024 19:00,39,0,0,0,0,0,0,0
12/10/2024 23:00,41,0,0,0,0,0,0,0
13/10/2024 03:00,39,0,0,0,0,0,0,0
13/10/2024 07:00,43,0,0,0,0,0,0,0
13/10/2024 11:00,43,0,0,0,0,0,0,0
13/10/2024 15:00,44,0,0,0,0,0,0,0
13/10/2024 19:00,45,0,0,0,0,0,0,0
13/10/2024 23:00,46,0,0,0,0,0,0,0
14/10/2024 03:00,44,0,0,0,0,0,0,0
14/10/2024 07:00,41,0,0,0,0,0,0,0
14/10/2024 11:00,41,0,0,0,0,0,0,0
14/10/2024 15:00,40,0,0,0,0,0,0,0
14/10/2024 19:00,39,0,0,0,0,0,0,0
14/10/2024 23:00,38,0,0,0,0,0,0,0
15/10/2024 03:00,44,0,0,0,0,0,0,0
15/10/2024 07:00,38,0,0,0,0,0,0,0
15/10/2024 11:00,39,0,0,0,0,0,0,0
15/10/2024 15:00,42,0,0,0,0,0,0,0
15/10/2024 19:00,47,0,0,0,0,0,0,0
15/10/2024 23:00,45,0,0,0,0,0,0,0
16/10/2024 03:00,41,0,0,0,0,0,0,0
16/10/2024 07:00,42,0,0,0,0,0,0,0
16/10/2024 11:00,42,0,0,0,0,0,0,0
18/10/2024 11:00,39,0,0,0,0,0,0,0
18/10/2024 15:00,43,0,0,0,0,0,0,0
18/10/2024 19:00,41,0,0,0,0,0,0,0
18/10/2024 23:00,41,0,0,0,0,0,0,0
19/10/2024 03:00,43,0,0,0,0,0,0,0
19/10/2024 07:00,38,0,0,0,0,0,0,0
19/10/2024 11:00,40,0,0,0,0,0,0,0
19/10/2024 15:00,42,0,0,0,0,0,0,0
19/10/2024 19:00,44,0,0,0,0,0,0,0
19/10/2024 23:00,43,0,0,0,0,0,0,0
20/10/2024 03:00,43,0,0,0,0,0,0,0
20/10/2024 07:00,40,0,0,0,0,0,0,0
20/10/2024 11:00,38,0,0,0,0,0,0,0
20/10/2024 15:00,39,0,0,0,0,0,0,0
20/10/2024 19:00,38,0,0,0,0,0,0,0
20/10/2024 23:00,42,0,0,0,0,0,0,0
21/10/2024 03:00,43,0,0,0,0,0,0,0
21/10/2024 07:00,49,0,0,0,0,0,0,0
21/10/2024 11:00,42,0,0,0,0,0,0,0
21/10/2024 15:00,40,0,0,0,0,0,0,0
21/10/2024 19:00,41,0,0,0,0,0,0,0
21/10/2024 23:00,41,0,0,0,0,0,0,0
22/10/2024 03:00,49,0,0,0,0,0,0,0
22/10/2024 07:00,40,0,0,0,0,0,0,0
22/10/2024 11:00,40,0,0,0,0,0,0,0
22/10/2024 15:00,44,0,0,0,0,0,0,0
22/10/2024 19:00,42,0,0,0,0,0,0,0
22/10/2024 23:00,46,0,0,0,0,0,0,0
23/10/2024 07:00,58,0,0,0,0,0,0,0
23/10/2024 11:00,98,0,0,0,0,0,0,0
23/10/2024 15:00,72,0,0,0,0,0,0,0
23/10/2024 19:00,66,0,0,0,0,0,0,0
23/10/2024 23:00,56,0,0,0,0,0,0,0
24/10/2024 03:00,71,0,0,0,0,0,0,0
24/10/2024 07:00,93,0,0,0,0,0,0,0
24/10/2024 11:00,57,0,0,0,0,0,0,0
24/10/2024 15:00,73,0,0,0,0,0,0,0
24/10/2024 19:00,55,0,0,0,0,0,0,0
24/10/2024 23:00,56,0,0,0,0,0,0,0
25/10/2024 03:00,80,0,0,0,0,0,0,0
25/10/2024 07:00,66,0,0,0,0,0,0,0
25/10/2024 11:00,75,0,0,0,0,0,0,0
25/10/2024 15:00,52,0,0,0,0,0,0,0
25/10/2024 19:00,58,0,0,0,0,0,0,0
25/10/2024 23:00,71,0,0,0,0,0,0,0
26/10/2024 03:00,76,0,0,0,0,0,0,0
26/10/2024 07:00,57,0,0,0,0,0,0,0
26/10/2024 11:00,55,0,0,0,0,0,0,0
26/10/2024 15:00,77,0,0,0,0,0,0,0
26/10/2024 19:00,77,0,0,0,0,0,0,0
26/10/2024 23:00,86,0,0,0,0,0,0,0
27/10/2024 04:00,63,0,0,0,0,0,0,0
27/10/2024 08:00,57,0,0,0,0,0,0,0
27/10/2024 12:00,68,0,0,0,0,0,0,0
27/10/2024 16:00,110,0,0,0,0,0,0,0
27/10/2024 20:00,59,0,0,0,0,0,0,0
28/10/2024 00:00,51,0,0,0,0,0,0,0
28/10/2024 04:00,100,0,0,0,0,0,0,0
28/10/2024 08:00,101,0,0,0,0,0,0,0
28/10/2024 12:00,74,0,0,0,0,0,0,0
28/10/2024 16:00,63,0,0,0,0,0,0,0
28/10/2024 20:00,57,0,0,0,0,0,0,0
29/10/2024 00:00,77,0,0,0,0,0,0,0
29/10/2024 04:00,68,0,0,0,0,0,0,0
29/10/2024 08:00,65,0,0,0,0,0,0,0
29/10/2024 12:00,72,0,0,0,0,0,0,0
29/10/2024 16:00,66,0,0,0,0,0,0,0
29/10/2024 20:00,57,0,0,0,0,0,0,0
30/10/2024 00:00,94,0,0,0,0,0,0,0
30/10/2024 04:00,91,0,0,0,0,0,0,0
30/10/2024 08:00,81,0,0,0,0,0,0,0
30/10/2024 12:00,103,0,0,0,0,0,0,0
30/10/2024 16:00,87,0,0,0,0,0,0,0
30/10/2024 20:00,74,0,0,0,0,0,0,0
31/10/2024 00:00,62,0,0,0,0,0,0,0
31/10/2024 04:00,56,0,0,0,0,0,0,0
31/10/2024 08:00,93,0,0,0,0,0,0,0
31/10/2024 12:00,82,0,0,0,0,0,0,0
31/10/2024 16:00,101,0,0,0,0,0,0,0
31/10/2024 20:00,67,0,0,0,0,0,0,0
