Time,In,Out,UtilIn,UtilOut,Error,Discards,SpikeMG,ChangePointMG
14/Jan/2024 00:00:00,6398,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 00:03:00,5866,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 00:06:00,6019,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 00:09:00,6113,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 00:12:00,6226,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 00:15:00,6053,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 00:18:00,5903,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 00:21:00,6531,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 00:24:00,5847,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 00:27:00,5831,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 00:30:00,6376,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 00:33:00,6605,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 00:36:00,6589,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 00:39:00,5221,3633,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 00:42:00,6490,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 00:45:00,6528,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 00:48:00,5451,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 00:51:00,6417,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 00:54:00,5391,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 00:57:00,7112,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 01:00:00,5793,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 01:03:00,6057,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
